Category: All categories

Week,Python: (Worldwide),R: (Worldwide),Java: (Worldwide),C++: (Worldwide),JavaScript: (Worldwide)
2017-12-17,52,19,73,23,54
2017-12-24,40,15,58,18,42
2017-12-31,46,17,64,18,46
2018-01-07,54,18,76,23,57
2018-01-14,57,18,76,24,59
2018-01-21,58,19,78,24,56
2018-01-28,60,21,85,26,59
2018-02-04,61,21,80,26,57
2018-02-11,60,21,79,25,58
2018-02-18,59,21,80,25,58
2018-02-25,60,20,80,25,57
2018-03-04,62,21,82,26,59
2018-03-11,60,20,82,26,58
2018-03-18,61,21,79,27,60
2018-03-25,59,21,77,24,55
2018-04-01,59,21,78,24,55
2018-04-08,61,22,80,26,58
2018-04-15,63,22,81,26,59
2018-04-22,60,22,80,25,58
2018-04-29,55,21,68,22,51
2018-05-06,57,21,74,23,56
2018-05-13,59,21,79,23,60
2018-05-20,60,20,73,22,58
2018-05-27,59,20,72,22,55
2018-06-03,59,20,76,23,57
2018-06-10,59,19,71,20,55
2018-06-17,58,19,71,20,55
2018-06-24,59,19,71,20,56
2018-07-01,55,18,66,19,51
2018-07-08,60,19,72,21,56
2018-07-15,58,20,72,21,55
2018-07-22,59,20,72,20,58
2018-07-29,60,19,73,20,55
2018-08-05,59,19,71,20,55
2018-08-12,55,18,66,19,50
2018-08-19,60,19,69,20,55
2018-08-26,58,19,71,21,54
2018-09-02,61,18,71,22,54
2018-09-09,65,20,75,24,53
2018-09-16,68,20,77,25,55
2018-09-23,63,21,79,26,51
2018-09-30,64,20,72,26,52
2018-10-07,66,19,74,26,53
2018-10-14,69,20,73,26,54
2018-10-21,67,20,77,26,53
2018-10-28,67,20,73,24,51
2018-11-04,63,20,68,25,50
2018-11-11,67,20,74,25,54
2018-11-18,65,18,71,24,53
2018-11-25,68,20,72,26,55
2018-12-02,66,20,73,25,54
2018-12-09,65,18,70,25,53
2018-12-16,58,17,65,22,49
2018-12-23,42,14,48,15,35
2018-12-30,45,15,47,15,36
2019-01-06,60,17,65,20,51
2019-01-13,62,18,67,21,50
2019-01-20,63,18,68,22,52
2019-01-27,67,19,68,22,53
2019-02-03,65,19,69,22,53
2019-02-10,68,19,72,22,55
2019-02-17,67,19,71,22,56
2019-02-24,69,20,68,22,55
2019-03-03,68,19,67,22,54
2019-03-10,68,18,71,23,54
2019-03-17,66,19,69,22,53
2019-03-24,66,19,69,23,53
2019-03-31,69,20,70,24,54
2019-04-07,70,20,70,23,53
2019-04-14,66,20,66,22,49
2019-04-21,66,19,67,22,50
2019-04-28,61,19,59,19,46
2019-05-05,66,19,66,21,51
2019-05-12,69,18,68,21,51
2019-05-19,66,18,67,21,53
2019-05-26,64,17,63,19,51
2019-06-02,67,18,64,19,52
2019-06-09,70,19,65,20,54
2019-06-16,71,18,66,20,53
2019-06-23,72,17,64,19,53
2019-06-30,67,17,65,19,51
2019-07-07,75,17,66,20,56
2019-07-14,71,17,65,19,54
2019-07-21,69,17,64,18,53
2019-07-28,68,17,61,18,51
2019-08-04,66,16,59,18,52
2019-08-11,64,17,61,18,49
2019-08-18,72,17,68,21,56
2019-08-25,71,18,67,22,55
2019-09-01,71,17,65,21,52
2019-09-08,77,18,70,24,55
2019-09-15,80,19,74,26,55
2019-09-22,81,20,73,26,56
2019-09-29,77,18,69,24,52
2019-10-06,78,19,70,25,53
2019-10-13,81,19,71,26,54
2019-10-20,78,18,69,25,53
2019-10-27,73,18,65,22,50
2019-11-03,81,18,68,25,54
2019-11-10,79,19,66,24,52
2019-11-17,79,18,69,24,54
2019-11-24,73,17,65,23,50
2019-12-01,75,18,65,23,52
2019-12-08,74,17,64,23,51
2019-12-15,70,16,62,20,50
2019-12-22,52,13,44,15,36
2019-12-29,49,13,44,14,34
2020-01-05,68,15,59,19,51
2020-01-12,71,15,61,21,51
2020-01-19,74,16,65,21,51
2020-01-26,76,17,63,21,52
2020-02-02,77,18,66,22,53
2020-02-09,79,17,67,23,55
2020-02-16,84,19,69,24,56
2020-02-23,82,18,67,24,54
2020-03-01,82,17,66,23,54
2020-03-08,74,17,63,22,51
2020-03-15,67,15,55,18,47
2020-03-22,73,16,55,19,47
2020-03-29,76,17,58,21,48
2020-04-05,76,17,57,21,49
2020-04-12,79,17,58,21,49
2020-04-19,81,19,59,21,53
2020-04-26,79,18,56,21,49
2020-05-03,77,18,56,20,49
2020-05-10,80,17,57,21,53
2020-05-17,79,17,55,20,50
2020-05-24,75,17,56,20,51
2020-05-31,73,17,55,19,51
2020-06-07,75,17,54,19,52
2020-06-14,75,17,55,19,50
2020-06-21,73,16,52,18,50
2020-06-28,73,16,54,18,50
2020-07-05,76,16,53,18,52
2020-07-12,75,16,55,19,52
2020-07-19,74,16,55,18,52
2020-07-26,71,16,53,17,51
2020-08-02,73,16,54,18,52
2020-08-09,72,16,52,17,49
2020-08-16,73,15,53,18,50
2020-08-23,74,16,52,19,51
2020-08-30,74,17,53,19,49
2020-09-06,77,17,56,21,50
2020-09-13,76,17,58,22,52
2020-09-20,75,18,57,21,49
2020-09-27,71,16,53,20,44
2020-10-04,70,16,52,20,43
2020-10-11,65,15,51,19,39
2020-10-18,64,15,51,19,40
2020-10-25,63,15,48,20,39
2020-11-01,57,14,45,17,35
2020-11-08,65,15,48,19,37
2020-11-15,63,15,48,19,39
2020-11-22,61,15,47,18,38
2020-11-29,61,15,47,18,38
2020-12-06,62,15,47,18,39
2020-12-13,60,14,48,17,38
2020-12-20,50,12,40,15,33
2020-12-27,44,11,34,13,28
2021-01-03,55,13,42,16,35
2021-01-10,58,14,45,17,39
2021-01-17,60,14,47,18,38
2021-01-24,64,14,49,17,40
2021-01-31,63,15,49,17,40
2021-02-07,61,15,47,17,38
2021-02-14,62,14,48,18,39
2021-02-21,63,15,49,18,41
2021-02-28,63,15,49,19,41
2021-03-07,65,15,50,18,41
2021-03-14,68,15,50,20,41
2021-03-21,67,15,50,19,40
2021-03-28,63,15,46,17,39
2021-04-04,63,15,48,18,40
2021-04-11,65,16,49,19,41
2021-04-18,65,15,50,19,40
2021-04-25,65,15,48,18,39
2021-05-02,63,15,47,17,38
2021-05-09,62,14,48,17,38
2021-05-16,64,15,52,17,40
2021-05-23,64,14,47,17,40
2021-05-30,62,15,47,18,41
2021-06-06,67,15,51,18,43
