Week,Python: (Worldwide),R: (Worldwide),Java: (Worldwide),C++: (Worldwide),JavaScript: (Worldwide)
15/04/2018,63,22,81,26,59
22/04/2018,60,22,80,25,58
29/04/2018,55,21,68,22,51
06/05/2018,57,21,74,23,56
13/05/2018,59,21,79,23,60
20/05/2018,60,20,73,22,58
27/05/2018,59,20,72,22,55
03/06/2018,59,20,76,23,57
10/06/2018,59,19,71,20,55
17/06/2018,58,19,71,20,55
24/06/2018,59,19,71,20,56
01/07/2018,55,18,66,19,51
08/07/2018,60,19,72,21,56
15/07/2018,58,20,72,21,55
22/07/2018,59,20,72,20,58
29/07/2018,60,19,73,20,55
05/08/2018,59,19,71,20,55
12/08/2018,55,18,66,19,50
19/08/2018,60,19,69,20,55
26/08/2018,58,19,71,21,54
02/09/2018,61,18,71,22,54
09/09/2018,65,20,75,24,53
16/09/2018,68,20,77,25,55
23/09/2018,63,21,79,26,51
30/09/2018,64,20,72,26,52
07/10/2018,66,19,74,26,53
14/10/2018,69,20,73,26,54
21/10/2018,67,20,77,26,53
28/10/2018,67,20,73,24,51
04/11/2018,63,20,68,25,50
11/11/2018,67,20,74,25,54
18/11/2018,65,18,71,24,53
25/11/2018,68,20,72,26,55
02/12/2018,66,20,73,25,54
09/12/2018,65,18,70,25,53
16/12/2018,58,17,65,22,49
23/12/2018,42,14,48,15,35
30/12/2018,45,15,47,15,36
06/01/2019,60,17,65,20,51
13/01/2019,62,18,67,21,50
20/01/2019,63,18,68,22,52
27/01/2019,67,19,68,22,53
03/02/2019,65,19,69,22,53
10/02/2019,68,19,72,22,55
17/02/2019,67,19,71,22,56
24/02/2019,69,20,68,22,55
03/03/2019,68,19,67,22,54
10/03/2019,68,18,71,23,54
17/03/2019,66,19,69,22,53
24/03/2019,66,19,69,23,53
31/03/2019,69,20,70,24,54
07/04/2019,70,20,70,23,53
14/04/2019,66,20,66,22,49
21/04/2019,66,19,67,22,50
28/04/2019,61,19,59,19,46
05/05/2019,66,19,66,21,51
12/05/2019,69,18,68,21,51
19/05/2019,66,18,67,21,53
26/05/2019,64,17,63,19,51
02/06/2019,67,18,64,19,52
09/06/2019,70,19,65,20,54
16/06/2019,71,18,66,20,53
23/06/2019,72,17,64,19,53
30/06/2019,67,17,65,19,51
07/07/2019,75,17,66,20,56
14/07/2019,71,17,65,19,54
21/07/2019,69,17,64,18,53
28/07/2019,68,17,61,18,51
04/08/2019,66,16,59,18,52
11/08/2019,64,17,61,18,49
18/08/2019,72,17,68,21,56
25/08/2019,71,18,67,22,55
01/09/2019,71,17,65,21,52
08/09/2019,77,18,70,24,55
15/09/2019,80,19,74,26,55
22/09/2019,81,20,73,26,56
29/09/2019,77,18,69,24,52
06/10/2019,78,19,70,25,53
13/10/2019,81,19,71,26,54
20/10/2019,78,18,69,25,53
27/10/2019,73,18,65,22,50
03/11/2019,81,18,68,25,54
10/11/2019,79,19,66,24,52
17/11/2019,79,18,69,24,54
24/11/2019,73,17,65,23,50
01/12/2019,75,18,65,23,52
08/12/2019,74,17,64,23,51
15/12/2019,70,16,62,20,50
22/12/2019,52,13,44,15,36
29/12/2019,49,13,44,14,34
05/01/2020,68,15,59,19,51
12/01/2020,71,15,61,21,51
19/01/2020,74,16,65,21,51
26/01/2020,76,17,63,21,52
02/02/2020,77,18,66,22,53
09/02/2020,79,17,67,23,55
16/02/2020,84,19,69,24,56
23/02/2020,82,18,67,24,54
01/03/2020,82,17,66,23,54
08/03/2020,74,17,63,22,51
15/03/2020,67,15,55,18,47
22/03/2020,73,16,55,19,47
29/03/2020,76,17,58,21,48
05/04/2020,76,17,57,21,49
12/04/2020,79,17,58,21,49
19/04/2020,81,19,59,21,53
26/04/2020,79,18,56,21,49
03/05/2020,77,18,56,20,49
10/05/2020,80,17,57,21,53
17/05/2020,79,17,55,20,50
24/05/2020,75,17,56,20,51
31/05/2020,73,17,55,19,51
07/06/2020,75,17,54,19,52
14/06/2020,75,17,55,19,50
21/06/2020,73,16,52,18,50
28/06/2020,73,16,54,18,50
05/07/2020,76,16,53,18,52
12/07/2020,75,16,55,19,52
19/07/2020,74,16,55,18,52
26/07/2020,71,16,53,17,51
02/08/2020,73,16,54,18,52
09/08/2020,72,16,52,17,49
16/08/2020,73,15,53,18,50
23/08/2020,74,16,52,19,51
30/08/2020,74,17,53,19,49
06/09/2020,77,17,56,21,50
13/09/2020,76,17,58,22,52
20/09/2020,75,18,57,21,49
27/09/2020,71,16,53,20,44
04/10/2020,70,16,52,20,43
11/10/2020,65,15,51,19,39
18/10/2020,64,15,51,19,40
25/10/2020,63,15,48,20,39
01/11/2020,57,14,45,17,35
08/11/2020,65,15,48,19,37
15/11/2020,63,15,48,19,39
22/11/2020,61,15,47,18,38
29/11/2020,61,15,47,18,38
06/12/2020,62,15,47,18,39
13/12/2020,60,14,48,17,38
20/12/2020,50,12,40,15,33
27/12/2020,44,11,34,13,28
03/01/2021,55,13,42,16,35
10/01/2021,58,14,45,17,39
17/01/2021,60,14,47,18,38
24/01/2021,64,14,49,17,40
31/01/2021,63,15,49,17,40
07/02/2021,61,15,47,17,38
14/02/2021,62,14,48,18,39
21/02/2021,63,15,49,18,41
28/02/2021,63,15,49,19,41
07/03/2021,65,15,50,18,41
14/03/2021,68,15,50,20,41
21/03/2021,67,15,50,19,40
28/03/2021,63,15,46,17,39
04/04/2021,63,15,48,18,40
11/04/2021,65,16,49,19,41
18/04/2021,65,15,50,19,40
25/04/2021,65,15,48,18,39
02/05/2021,63,15,47,17,38
09/05/2021,62,14,48,17,38
16/05/2021,64,15,52,17,40
23/05/2021,64,14,47,17,40
30/05/2021,62,15,47,18,41
06/06/2021,67,15,51,18,43
